Clientes,Ing Potencial,Venta acumulada,Porcentaje,Vendedor
Geovita,9.374.593,3.603.505,38%,Pablo Gálvez
Minera Florida,4.831.030,1.855.240,38%,Pablo Gálvez
Minera Meridian,3.822.611,1.428.467,37%,Pablo Gálvez
Acop II,3.957.200,1.558.625,39%,Pablo Gálvez
Aura,3.502.360,1.298.858,37%,Pablo Gálvez
MGA,3.035.593,1.128.887,37%,Pablo Gálvez
Minera Las Cenizas,2.089.689,783.828,38%,Pablo Gálvez
Icem,1.209.600,564.990,47%,Ismael Riquelme
Carmen Bajo,2.050.903,838.823,41%,Ismael Riquelme
Terra Mining,1.575.924,609.291,39%,Ismael Riquelme
Perfonor,1.935.360,903.983,47%,Ismael Riquelme
Sominor,1.045.002,401.513,38%,Ismael Riquelme
Besalco Maquinarias,1.301.832,628.800,48%,Ismael Riquelme
HMC,761.334,246.643,32%,Ismael Riquelme
Mas Errazuriz,858.522,335.557,39%,Tomás Araneda
La Patagua,385.560,145.300,38%,Tomás Araneda
Xtreme Mining,651.021,249.190,38%,Tomás Araneda
San Pedro,535.500,210.560,39%,Tomás Araneda
Ossa Teniente,462.084,154.518,33%,Tomás Araneda
Acciona,462.084,154.518,33%,Tomás Araneda
Gardlicic / Megamin,346.563,115.888,33%,Tomás Araneda
