Clientes,Ing Potencial,Venta acumulada,Porcentaje,Vendedor
ANKOST PERU S.A.,1.252.125,184.766,15%,Valeria Quispe
AXIS COMNINS MKS SAC,326.340,33.111,10%,Valeria Quispe
BJ OPERACIONES S.R.L.,923.454,162.528,18%,Valeria Quispe
CONSTRUCCION Y ADMINISTRACION S.A,725.760,181.054,25%,Valeria Quispe
CONTRATA MINERA CRISTOBAL,128.520,21.147,16%,Valeria Quispe
ESEMIN PERU E.I.R.L.,380.142,72.986,19%,Valeria Quispe
GESTEMIND S.A.C.,928.872,152.983,16%,Valeria Quispe
GREENEX S.A.C.,840.420,117.699,14%,Valeria Quispe
IESA S.A.,1.576.134,228.750,15%,Valeria Quispe
INCIMMET S.A.,326.340,33.111,10%,Diego Paredes
MAQUIRENA S.A.C.,163.170,16.555,10%,Diego Paredes
MINERA TAURO S.A.C.,746.550,91.960,12%,Diego Paredes
MIRO VIDAL y COMPAÑIA S.A.C.,216.972,56.431,26%,Diego Paredes
OPERACIONES SEPROCAL S.A.C.,652.680,66.222,10%,Diego Paredes
OPERADORES CONCENTRADOS PERUANOS S.A.C.,979.020,99.333,10%,Diego Paredes
SAN MARTIN CONTRATISTAS GENERALES S.A.,396.900,75.840,19%,Diego Paredes
ZANINGROUP S.A.C.,599.760,133.704,22%,Diego Paredes
ZICSA CONTRATISTAS GENERALES,2.491.776,398.603,16%,Diego Paredes
